³¤,¿í,Ãæ»ý
143.103,106.604,10244.5
97.1397,67.1733,5261
123.536,118.688,8660
201.994,142.27,21118.5
296.182,182.204,28881
209.079,155.801,25012.5
169.025,155.646,18649
228.647,225.329,34245.5
